date,name,areaType,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths
2020-08-09,West Midlands,region,E12000005,76.0,28044.0,0.0,
2020-08-09,Yorkshire and The Humber,region,E12000003,97.0,33454.0,0.0,
2020-08-08,East Midlands,region,E12000004,73.0,24391.0,0.0,
2020-08-08,East of England,region,E12000006,44.0,25359.0,0.0,
2020-08-08,London,region,E12000007,54.0,36435.0,0.0,
2020-08-08,North East,region,E12000001,12.0,15517.0,0.0,
2020-08-08,North West,region,E12000002,217.0,48576.0,0.0,
2020-08-08,South East,region,E12000008,30.0,36006.0,0.0,
2020-08-08,South West,region,E12000009,25.0,13677.0,0.0,
2020-08-08,West Midlands,region,E12000005,73.0,27968.0,0.0,
2020-08-08,Yorkshire and The Humber,region,E12000003,105.0,33357.0,0.0,
2020-08-07,East Midlands,region,E12000004,89.0,24318.0,0.0,
2020-08-07,East of England,region,E12000006,70.0,25315.0,0.0,
2020-08-07,London,region,E12000007,118.0,36381.0,0.0,
2020-08-07,North East,region,E12000001,14.0,15505.0,0.0,
2020-08-07,North West,region,E12000002,236.0,48359.0,0.0,
2020-08-07,South East,region,E12000008,52.0,35976.0,0.0,
2020-08-07,South West,region,E12000009,42.0,13652.0,0.0,
2020-08-07,West Midlands,region,E12000005,104.0,27895.0,0.0,
2020-08-07,Yorkshire and The Humber,region,E12000003,119.0,33252.0,0.0,
2020-08-06,East Midlands,region,E12000004,114.0,24229.0,0.0,
2020-08-06,East of England,region,E12000006,44.0,25245.0,0.0,
2020-08-06,London,region,E12000007,104.0,36263.0,0.0,
2020-08-06,North East,region,E12000001,22.0,15491.0,0.0,
2020-08-06,North West,region,E12000002,277.0,48123.0,0.0,
2020-08-06,South East,region,E12000008,60.0,35924.0,0.0,
2020-08-06,South West,region,E12000009,45.0,13610.0,0.0,
2020-08-06,West Midlands,region,E12000005,112.0,27791.0,0.0,
2020-08-06,Yorkshire and The Humber,region,E12000003,174.0,33133.0,0.0,
2020-08-05,East Midlands,region,E12000004,114.0,24115.0,0.0,
2020-08-05,East of England,region,E12000006,53.0,25201.0,0.0,
2020-08-05,London,region,E12000007,114.0,36159.0,0.0,
2020-08-05,North East,region,E12000001,30.0,15469.0,0.0,
2020-08-05,North West,region,E12000002,259.0,47846.0,0.0,
2020-08-05,South East,region,E12000008,65.0,35864.0,0.0,
2020-08-05,South West,region,E12000009,40.0,13565.0,0.0,
2020-08-05,West Midlands,region,E12000005,94.0,27679.0,0.0,
2020-08-05,Yorkshire and The Humber,region,E12000003,154.0,32959.0,0.0,
2020-08-04,East Midlands,region,E12000004,87.0,24001.0,0.0,
2020-08-04,East of England,region,E12000006,54.0,25148.0,0.0,
2020-08-04,London,region,E12000007,102.0,36045.0,0.0,
2020-08-04,North East,region,E12000001,19.0,15439.0,0.0,
2020-08-04,North West,region,E12000002,274.0,47587.0,0.0,
2020-08-04,South East,region,E12000008,66.0,35799.0,0.0,
2020-08-04,South West,region,E12000009,54.0,13525.0,0.0,
2020-08-04,West Midlands,region,E12000005,95.0,27585.0,0.0,
2020-08-04,Yorkshire and The Humber,region,E12000003,145.0,32805.0,0.0,
2020-08-03,East Midlands,region,E12000004,107.0,23914.0,0.0,
2020-08-03,East of England,region,E12000006,68.0,25094.0,0.0,
2020-08-03,London,region,E12000007,87.0,35943.0,0.0,
2020-08-03,North East,region,E12000001,18.0,15420.0,0.0,
2020-08-03,North West,region,E12000002,300.0,47313.0,0.0,
2020-08-03,South East,region,E12000008,74.0,35733.0,0.0,
2020-08-03,South West,region,E12000009,42.0,13471.0,0.0,
2020-08-03,West Midlands,region,E12000005,87.0,27490.0,0.0,
2020-08-03,Yorkshire and The Humber,region,E12000003,142.0,32660.0,0.0,
2020-08-02,East Midlands,region,E12000004,53.0,23807.0,0.0,
2020-08-02,East of England,region,E12000006,36.0,25026.0,0.0,
2020-08-02,London,region,E12000007,72.0,35856.0,0.0,
2020-08-02,North East,region,E12000001,16.0,15402.0,0.0,
2020-08-02,North West,region,E12000002,167.0,47013.0,0.0,
2020-08-02,South East,region,E12000008,21.0,35659.0,0.0,
2020-08-02,South West,region,E12000009,9.0,13429.0,0.0,
2020-08-02,West Midlands,region,E12000005,42.0,27403.0,0.0,
2020-08-02,Yorkshire and The Humber,region,E12000003,85.0,32518.0,0.0,
2020-08-01,East Midlands,region,E12000004,69.0,23754.0,0.0,
2020-08-01,East of England,region,E12000006,21.0,24990.0,0.0,
2020-08-01,London,region,E12000007,58.0,35784.0,0.0,
2020-08-01,North East,region,E12000001,9.0,15386.0,0.0,
2020-08-01,North West,region,E12000002,157.0,46846.0,0.0,
2020-08-01,South East,region,E12000008,30.0,35638.0,0.0,
2020-08-01,South West,region,E12000009,8.0,13420.0,0.0,
2020-08-01,West Midlands,region,E12000005,54.0,27361.0,0.0,
2020-08-01,Yorkshire and The Humber,region,E12000003,81.0,32433.0,0.0,
2020-07-31,East Midlands,region,E12000004,74.0,23685.0,0.0,
2020-07-31,East of England,region,E12000006,31.0,24969.0,0.0,
2020-07-31,London,region,E12000007,73.0,35726.0,0.0,
2020-07-31,North East,region,E12000001,12.0,15377.0,0.0,
2020-07-31,North West,region,E12000002,177.0,46689.0,0.0,
2020-07-31,South East,region,E12000008,40.0,35608.0,0.0,
2020-07-31,South West,region,E12000009,29.0,13412.0,0.0,
2020-07-31,West Midlands,region,E12000005,81.0,27307.0,0.0,
2020-07-31,Yorkshire and The Humber,region,E12000003,98.0,32352.0,0.0,
2020-07-30,East Midlands,region,E12000004,109.0,23611.0,0.0,
2020-07-30,East of England,region,E12000006,51.0,24938.0,0.0,
2020-07-30,London,region,E12000007,100.0,35653.0,0.0,
2020-07-30,North East,region,E12000001,15.0,15365.0,0.0,
2020-07-30,North West,region,E12000002,220.0,46512.0,0.0,
2020-07-30,South East,region,E12000008,63.0,35568.0,0.0,
2020-07-30,South West,region,E12000009,63.0,13383.0,0.0,
2020-07-30,West Midlands,region,E12000005,78.0,27226.0,0.0,
2020-07-30,Yorkshire and The Humber,region,E12000003,141.0,32254.0,0.0,
2020-07-29,East Midlands,region,E12000004,106.0,23502.0,0.0,
2020-07-29,East of England,region,E12000006,65.0,24887.0,0.0,
2020-07-29,London,region,E12000007,99.0,35553.0,0.0,
2020-07-29,North East,region,E12000001,21.0,15350.0,0.0,
2020-07-29,North West,region,E12000002,286.0,46292.0,0.0,
2020-07-29,South East,region,E12000008,78.0,35505.0,0.0,
2020-07-29,South West,region,E12000009,53.0,13320.0,0.0,
2020-07-29,West Midlands,region,E12000005,90.0,27148.0,0.0,
2020-07-29,Yorkshire and The Humber,region,E12000003,162.0,32113.0,0.0,
2020-07-28,East Midlands,region,E12000004,76.0,23396.0,0.0,
2020-07-28,East of England,region,E12000006,56.0,24822.0,0.0,
2020-07-28,London,region,E12000007,98.0,35454.0,0.0,
2020-07-28,North East,region,E12000001,5.0,15329.0,0.0,
2020-07-28,North West,region,E12000002,200.0,46006.0,0.0,
2020-07-28,South East,region,E12000008,65.0,35427.0,0.0,
2020-07-28,South West,region,E12000009,34.0,13267.0,0.0,
2020-07-28,West Midlands,region,E12000005,88.0,27058.0,0.0,
2020-07-28,Yorkshire and The Humber,region,E12000003,149.0,31951.0,0.0,
2020-07-27,East Midlands,region,E12000004,92.0,23320.0,0.0,
2020-07-27,East of England,region,E12000006,65.0,24766.0,0.0,
2020-07-27,London,region,E12000007,99.0,35356.0,0.0,
2020-07-27,North East,region,E12000001,9.0,15324.0,0.0,
2020-07-27,North West,region,E12000002,190.0,45806.0,0.0,
2020-07-27,South East,region,E12000008,85.0,35362.0,0.0,
2020-07-27,South West,region,E12000009,40.0,13233.0,0.0,
2020-07-27,West Midlands,region,E12000005,77.0,26970.0,0.0,
2020-07-27,Yorkshire and The Humber,region,E12000003,143.0,31802.0,0.0,
2020-07-26,East Midlands,region,E12000004,38.0,23228.0,0.0,
2020-07-26,East of England,region,E12000006,28.0,24701.0,0.0,
2020-07-26,London,region,E12000007,65.0,35257.0,0.0,
2020-07-26,North East,region,E12000001,7.0,15315.0,0.0,
2020-07-26,North West,region,E12000002,157.0,45616.0,0.0,
2020-07-26,South East,region,E12000008,37.0,35277.0,0.0,
2020-07-26,South West,region,E12000009,20.0,13193.0,0.0,
2020-07-26,West Midlands,region,E12000005,66.0,26893.0,0.0,
2020-07-26,Yorkshire and The Humber,region,E12000003,91.0,31659.0,0.0,
2020-07-25,East Midlands,region,E12000004,44.0,23190.0,0.0,
2020-07-25,East of England,region,E12000006,28.0,24673.0,0.0,
2020-07-25,London,region,E12000007,56.0,35192.0,0.0,
2020-07-25,North East,region,E12000001,5.0,15308.0,0.0,
2020-07-25,North West,region,E12000002,137.0,45459.0,0.0,
2020-07-25,South East,region,E12000008,47.0,35240.0,0.0,
2020-07-25,South West,region,E12000009,17.0,13173.0,0.0,
