Location,LocID,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
Eritrea,232,2,Medium,2019,2019.5,1752.711,1744.406,3497.117,34.625
Estonia,233,2,Medium,2019,2019.5,626.626,699.023,1325.649,31.273000000000003
Eswatini,748,2,Medium,2019,2019.5,562.79,585.3430000000001,1148.133,66.752
Ethiopia,231,2,Medium,2019,2019.5,56069.008,56009.719000000005,112078.727,112.079
Eurasian Economic Community (Eurasec),1546,2,Medium,2019,2019.5,105324.57800000001,117270.10800000001,222594.68600000002,11.109000000000002
Europe,917,2,Medium,2019,2019.5,360711.588,386471.227,747182.815,33.756
Europe,908,2,Medium,2019,2019.5,360711.588,386471.227,747182.815,33.756
Europe (48),1506,2,Medium,2019,2019.5,360711.588,386471.227,747182.815,33.756
Europe and Northern America,1829,2,Medium,2019,2019.5,542163.8910000001,571619.868,1113783.759,27.308000000000003
European Community (EC: 12),1550,2,Medium,2019,2019.5,188353.435,195716.56100000002,384069.99600000004,164.88
European Free Trade Agreement (EFTA),1544,2,Medium,2019,2019.5,7166.517,7180.76,14347.277,28.4
European Union (EU: 15),1549,2,Medium,2019,2019.5,200515.622,208078.032,408593.654,130.707
European Union (EU: 28),986,2,Medium,2019,2019.5,250845.723,261671.206,512516.929,120.883
Falkland Islands (Malvinas),238,2,Medium,2019,2019.5,,,3.372,0.27699999999999997
Faroe Islands,234,2,Medium,2019,2019.5,,,48.677,34.869
Fiji,242,2,Medium,2019,2019.5,450.959,438.996,889.955,48.711000000000006
Finland,246,2,Medium,2019,2019.5,2727.21,2804.949,5532.159000000001,18.204
France,250,2,Medium,2019,2019.5,31524.494,33605.237,65129.731,118.946
France (and dependencies),1107,2,Medium,2019,2019.5,32902.008,35076.39,67978.398,103.35700000000001
French Guiana,254,2,Medium,2019,2019.5,143.766,147.05700000000002,290.823,3.5380000000000003
French Polynesia,258,2,Medium,2019,2019.5,141.49200000000002,137.793,279.285,76.307
Gabon,266,2,Medium,2019,2019.5,1106.192,1066.386,2172.578,8.432
Gambia,270,2,Medium,2019,2019.5,1164.364,1183.3319999999999,2347.696,231.986
Georgia,268,2,Medium,2019,2019.5,1905.743,2091.019,3996.762,57.516000000000005
Germany,276,2,Medium,2019,2019.5,41249.115,42267.931,83517.046,239.606
